"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Dodge County, MN"	"27039"	"2006"	"2006"	"20-24 years"	"20-24"	Suppressed	1048	Suppressed
	"Dodge County, MN"	"27039"	"2006"	"2006"	"25-34 years"	"25-34"	Suppressed	2452	Suppressed
	"Dodge County, MN"	"27039"	"2006"	"2006"	"35-44 years"	"35-44"	Suppressed	2999	Suppressed
	"Dodge County, MN"	"27039"	"2006"	"2006"	"45-54 years"	"45-54"	Suppressed	2855	Suppressed
	"Dodge County, MN"	"27039"	"2006"	"2006"	"55-64 years"	"55-64"	Suppressed	1721	Suppressed
	"Dodge County, MN"	"27039"	"2006"	"2006"	"65-74 years"	"65-74"	18	1152	1562.50 (Unreliable)
	"Dodge County, MN"	"27039"	"2006"	"2006"	"75-84 years"	"75-84"	27	780	3461.54
	"Dodge County, MN"	"27039"	"2006"	"2006"	"85+ years"	"85+"	53	365	14520.55
	"Dodge County, MN"	"27039"	"2006"	"2006"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Dodge County, MN"	"27039"	"2007"	"2007"	"< 1 year"	"1"	Suppressed	285	Suppressed
	"Dodge County, MN"	"27039"	"2007"	"2007"	"1-4 years"	"1-4"	Suppressed	1204	Suppressed
	"Dodge County, MN"	"27039"	"2007"	"2007"	"5-9 years"	"5-9"	Suppressed	1650	Suppressed
	"Dodge County, MN"	"27039"	"2007"	"2007"	"10-14 years"	"10-14"	Suppressed	1612	Suppressed
	"Dodge County, MN"	"27039"	"2007"	"2007"	"15-19 years"	"15-19"	Suppressed	1488	Suppressed
	"Dodge County, MN"	"27039"	"2007"	"2007"	"20-24 years"	"20-24"	Suppressed	961	Suppressed
	"Dodge County, MN"	"27039"	"2007"	"2007"	"25-34 years"	"25-34"	Suppressed	2421	Suppressed
	"Dodge County, MN"	"27039"	"2007"	"2007"	"35-44 years"	"35-44"	Suppressed	2922	Suppressed
	"Dodge County, MN"	"27039"	"2007"	"2007"	"45-54 years"	"45-54"	10	2928	341.53 (Unreliable)
	"Dodge County, MN"	"27039"	"2007"	"2007"	"55-64 years"	"55-64"	16	1810	883.98 (Unreliable)
	"Dodge County, MN"	"27039"	"2007"	"2007"	"65-74 years"	"65-74"	20	1189	1682.09
	"Dodge County, MN"	"27039"	"2007"	"2007"	"75-84 years"	"75-84"	28	774	3617.57
	"Dodge County, MN"	"27039"	"2007"	"2007"	"85+ years"	"85+"	44	369	11924.12
	"Dodge County, MN"	"27039"	"2007"	"2007"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Dodge County, MN"	"27039"	"2008"	"2008"	"< 1 year"	"1"	Suppressed	293	Suppressed
	"Dodge County, MN"	"27039"	"2008"	"2008"	"1-4 years"	"1-4"	Suppressed	1227	Suppressed
	"Dodge County, MN"	"27039"	"2008"	"2008"	"5-9 years"	"5-9"	Suppressed	1667	Suppressed
	"Dodge County, MN"	"27039"	"2008"	"2008"	"10-14 years"	"10-14"	Suppressed	1645	Suppressed
	"Dodge County, MN"	"27039"	"2008"	"2008"	"15-19 years"	"15-19"	Suppressed	1492	Suppressed
	"Dodge County, MN"	"27039"	"2008"	"2008"	"20-24 years"	"20-24"	Suppressed	905	Suppressed
	"Dodge County, MN"	"27039"	"2008"	"2008"	"25-34 years"	"25-34"	Suppressed	2479	Suppressed
	"Dodge County, MN"	"27039"	"2008"	"2008"	"35-44 years"	"35-44"	Suppressed	2883	Suppressed
	"Dodge County, MN"	"27039"	"2008"	"2008"	"45-54 years"	"45-54"	11	2976	369.62 (Unreliable)
	"Dodge County, MN"	"27039"	"2008"	"2008"	"55-64 years"	"55-64"	13	1908	681.34 (Unreliable)
	"Dodge County, MN"	"27039"	"2008"	"2008"	"65-74 years"	"65-74"	15	1214	1235.58 (Unreliable)
	"Dodge County, MN"	"27039"	"2008"	"2008"	"75-84 years"	"75-84"	47	792	5934.34
	"Dodge County, MN"	"27039"	"2008"	"2008"	"85+ years"	"85+"	61	395	15443.04
	"Dodge County, MN"	"27039"	"2008"	"2008"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Dodge County, MN"	"27039"	"2009"	"2009"	"< 1 year"	"1"	Suppressed	270	Suppressed
	"Dodge County, MN"	"27039"	"2009"	"2009"	"1-4 years"	"1-4"	Suppressed	1233	Suppressed
	"Dodge County, MN"	"27039"	"2009"	"2009"	"5-9 years"	"5-9"	Suppressed	1639	Suppressed
	"Dodge County, MN"	"27039"	"2009"	"2009"	"10-14 years"	"10-14"	Suppressed	1642	Suppressed
	"Dodge County, MN"	"27039"	"2009"	"2009"	"15-19 years"	"15-19"	Suppressed	1484	Suppressed
	"Dodge County, MN"	"27039"	"2009"	"2009"	"20-24 years"	"20-24"	Suppressed	921	Suppressed
	"Dodge County, MN"	"27039"	"2009"	"2009"	"25-34 years"	"25-34"	Suppressed	2463	Suppressed
	"Dodge County, MN"	"27039"	"2009"	"2009"	"35-44 years"	"35-44"	Suppressed	2835	Suppressed
	"Dodge County, MN"	"27039"	"2009"	"2009"	"45-54 years"	"45-54"	Suppressed	3001	Suppressed
	"Dodge County, MN"	"27039"	"2009"	"2009"	"55-64 years"	"55-64"	Suppressed	2002	Suppressed
	"Dodge County, MN"	"27039"	"2009"	"2009"	"65-74 years"	"65-74"	18	1244	1446.95 (Unreliable)
	"Dodge County, MN"	"27039"	"2009"	"2009"	"75-84 years"	"75-84"	35	791	4424.78
	"Dodge County, MN"	"27039"	"2009"	"2009"	"85+ years"	"85+"	49	396	12373.74
	"Dodge County, MN"	"27039"	"2009"	"2009"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Dodge County, MN"	"27039"	"2010"	"2010"	"< 1 year"	"1"	Suppressed	279	Suppressed
	"Dodge County, MN"	"27039"	"2010"	"2010"	"1-4 years"	"1-4"	Suppressed	1204	Suppressed
	"Dodge County, MN"	"27039"	"2010"	"2010"	"5-9 years"	"5-9"	Suppressed	1664	Suppressed
	"Dodge County, MN"	"27039"	"2010"	"2010"	"10-14 years"	"10-14"	Suppressed	1669	Suppressed
	"Dodge County, MN"	"27039"	"2010"	"2010"	"15-19 years"	"15-19"	Suppressed	1472	Suppressed
	"Dodge County, MN"	"27039"	"2010"	"2010"	"20-24 years"	"20-24"	Suppressed	909	Suppressed
	"Dodge County, MN"	"27039"	"2010"	"2010"	"25-34 years"	"25-34"	Suppressed	2471	Suppressed
	"Dodge County, MN"	"27039"	"2010"	"2010"	"35-44 years"	"35-44"	Suppressed	2776	Suppressed
	"Dodge County, MN"	"27039"	"2010"	"2010"	"45-54 years"	"45-54"	Suppressed	3063	Suppressed
	"Dodge County, MN"	"27039"	"2010"	"2010"	"55-64 years"	"55-64"	15	2120	707.55 (Unreliable)
	"Dodge County, MN"	"27039"	"2010"	"2010"	"65-74 years"	"65-74"	26	1291	2013.94
	"Dodge County, MN"	"27039"	"2010"	"2010"	"75-84 years"	"75-84"	28	769	3641.09
	"Dodge County, MN"	"27039"	"2010"	"2010"	"85+ years"	"85+"	43	400	10750.00
	"Dodge County, MN"	"27039"	"2010"	"2010"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Dodge County, MN"	"27039"	"2011"	"2011"	"< 1 year"	"1"	Suppressed	261	Suppressed
	"Dodge County, MN"	"27039"	"2011"	"2011"	"1-4 years"	"1-4"	Suppressed	1171	Suppressed
	"Dodge County, MN"	"27039"	"2011"	"2011"	"5-9 years"	"5-9"	Suppressed	1641	Suppressed
	"Dodge County, MN"	"27039"	"2011"	"2011"	"10-14 years"	"10-14"	Suppressed	1700	Suppressed
	"Dodge County, MN"	"27039"	"2011"	"2011"	"15-19 years"	"15-19"	Suppressed	1474	Suppressed
	"Dodge County, MN"	"27039"	"2011"	"2011"	"20-24 years"	"20-24"	Suppressed	952	Suppressed
	"Dodge County, MN"	"27039"	"2011"	"2011"	"25-34 years"	"25-34"	Suppressed	2435	Suppressed
	"Dodge County, MN"	"27039"	"2011"	"2011"	"35-44 years"	"35-44"	Suppressed	2745	Suppressed
	"Dodge County, MN"	"27039"	"2011"	"2011"	"45-54 years"	"45-54"	Suppressed	3071	Suppressed
	"Dodge County, MN"	"27039"	"2011"	"2011"	"55-64 years"	"55-64"	14	2241	624.72 (Unreliable)
	"Dodge County, MN"	"27039"	"2011"	"2011"	"65-74 years"	"65-74"	14	1322	1059.00 (Unreliable)
	"Dodge County, MN"	"27039"	"2011"	"2011"	"75-84 years"	"75-84"	27	782	3452.69
	"Dodge County, MN"	"27039"	"2011"	"2011"	"85+ years"	"85+"	55	397	13853.90
	"Dodge County, MN"	"27039"	"2011"	"2011"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Dodge County, MN"	"27039"	"2012"	"2012"	"< 1 year"	"1"	Suppressed	261	Suppressed
	"Dodge County, MN"	"27039"	"2012"	"2012"	"1-4 years"	"1-4"	Suppressed	1142	Suppressed
	"Dodge County, MN"	"27039"	"2012"	"2012"	"5-9 years"	"5-9"	Suppressed	1602	Suppressed
	"Dodge County, MN"	"27039"	"2012"	"2012"	"10-14 years"	"10-14"	Suppressed	1718	Suppressed
	"Dodge County, MN"	"27039"	"2012"	"2012"	"15-19 years"	"15-19"	Suppressed	1491	Suppressed
	"Dodge County, MN"	"27039"	"2012"	"2012"	"20-24 years"	"20-24"	Suppressed	968	Suppressed
	"Dodge County, MN"	"27039"	"2012"	"2012"	"25-34 years"	"25-34"	Suppressed	2418	Suppressed
	"Dodge County, MN"	"27039"	"2012"	"2012"	"35-44 years"	"35-44"	Suppressed	2715	Suppressed
	"Dodge County, MN"	"27039"	"2012"	"2012"	"45-54 years"	"45-54"	Suppressed	3003	Suppressed
	"Dodge County, MN"	"27039"	"2012"	"2012"	"55-64 years"	"55-64"	Suppressed	2363	Suppressed
	"Dodge County, MN"	"27039"	"2012"	"2012"	"65-74 years"	"65-74"	19	1356	1401.18 (Unreliable)
	"Dodge County, MN"	"27039"	"2012"	"2012"	"75-84 years"	"75-84"	33	819	4029.30
	"Dodge County, MN"	"27039"	"2012"	"2012"	"85+ years"	"85+"	60	392	15306.12
	"Dodge County, MN"	"27039"	"2012"	"2012"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Dodge County, MN"	"27039"	"2013"	"2013"	"< 1 year"	"1"	Suppressed	234	Suppressed
	"Dodge County, MN"	"27039"	"2013"	"2013"	"1-4 years"	"1-4"	Suppressed	1117	Suppressed
	"Dodge County, MN"	"27039"	"2013"	"2013"	"5-9 years"	"5-9"	Suppressed	1621	Suppressed
	"Dodge County, MN"	"27039"	"2013"	"2013"	"10-14 years"	"10-14"	Suppressed	1692	Suppressed
	"Dodge County, MN"	"27039"	"2013"	"2013"	"15-19 years"	"15-19"	Suppressed	1499	Suppressed
	"Dodge County, MN"	"27039"	"2013"	"2013"	"20-24 years"	"20-24"	Suppressed	1025	Suppressed
	"Dodge County, MN"	"27039"	"2013"	"2013"	"25-34 years"	"25-34"	Suppressed	2374	Suppressed
	"Dodge County, MN"	"27039"	"2013"	"2013"	"35-44 years"	"35-44"	Suppressed	2736	Suppressed
	"Dodge County, MN"	"27039"	"2013"	"2013"	"45-54 years"	"45-54"	11	2926	375.94 (Unreliable)
	"Dodge County, MN"	"27039"	"2013"	"2013"	"55-64 years"	"55-64"	11	2454	448.25 (Unreliable)
	"Dodge County, MN"	"27039"	"2013"	"2013"	"65-74 years"	"65-74"	15	1398	1072.96 (Unreliable)
	"Dodge County, MN"	"27039"	"2013"	"2013"	"75-84 years"	"75-84"	35	838	4176.61
	"Dodge County, MN"	"27039"	"2013"	"2013"	"85+ years"	"85+"	53	400	13250.00
	"Dodge County, MN"	"27039"	"2013"	"2013"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Dodge County, MN"	"27039"	"2014"	"2014"	"< 1 year"	"1"	Suppressed	236	Suppressed
	"Dodge County, MN"	"27039"	"2014"	"2014"	"1-4 years"	"1-4"	Suppressed	1127	Suppressed
	"Dodge County, MN"	"27039"	"2014"	"2014"	"5-9 years"	"5-9"	Suppressed	1553	Suppressed
	"Dodge County, MN"	"27039"	"2014"	"2014"	"10-14 years"	"10-14"	Suppressed	1692	Suppressed
	"Dodge County, MN"	"27039"	"2014"	"2014"	"15-19 years"	"15-19"	Suppressed	1487	Suppressed
	"Dodge County, MN"	"27039"	"2014"	"2014"	"20-24 years"	"20-24"	Suppressed	1079	Suppressed
	"Dodge County, MN"	"27039"	"2014"	"2014"	"25-34 years"	"25-34"	Suppressed	2320	Suppressed
	"Dodge County, MN"	"27039"	"2014"	"2014"	"35-44 years"	"35-44"	Suppressed	2763	Suppressed
	"Dodge County, MN"	"27039"	"2014"	"2014"	"45-54 years"	"45-54"	Suppressed	2890	Suppressed
	"Dodge County, MN"	"27039"	"2014"	"2014"	"55-64 years"	"55-64"	15	2522	594.77 (Unreliable)
	"Dodge County, MN"	"27039"	"2014"	"2014"	"65-74 years"	"65-74"	22	1433	1535.24
	"Dodge County, MN"	"27039"	"2014"	"2014"	"75-84 years"	"75-84"	38	849	4475.85
	"Dodge County, MN"	"27039"	"2014"	"2014"	"85+ years"	"85+"	68	399	17042.61
	"Dodge County, MN"	"27039"	"2014"	"2014"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Dodge County, MN"	"27039"	"2015"	"2015"	"< 1 year"	"1"	Suppressed	256	Suppressed
	"Dodge County, MN"	"27039"	"2015"	"2015"	"1-4 years"	"1-4"	Suppressed	1094	Suppressed
	"Dodge County, MN"	"27039"	"2015"	"2015"	"5-9 years"	"5-9"	Suppressed	1512	Suppressed
	"Dodge County, MN"	"27039"	"2015"	"2015"	"10-14 years"	"10-14"	Suppressed	1645	Suppressed
	"Dodge County, MN"	"27039"	"2015"	"2015"	"15-19 years"	"15-19"	Suppressed	1493	Suppressed
	"Dodge County, MN"	"27039"	"2015"	"2015"	"20-24 years"	"20-24"	Suppressed	1125	Suppressed
	"Dodge County, MN"	"27039"	"2015"	"2015"	"25-34 years"	"25-34"	Suppressed	2305	Suppressed
	"Dodge County, MN"	"27039"	"2015"	"2015"	"35-44 years"	"35-44"	Suppressed	2757	Suppressed
	"Dodge County, MN"	"27039"	"2015"	"2015"	"45-54 years"	"45-54"	Suppressed	2871	Suppressed
	"Dodge County, MN"	"27039"	"2015"	"2015"	"55-64 years"	"55-64"	22	2598	846.81
	"Dodge County, MN"	"27039"	"2015"	"2015"	"65-74 years"	"65-74"	28	1480	1891.89
	"Dodge County, MN"	"27039"	"2015"	"2015"	"75-84 years"	"75-84"	39	843	4626.33
	"Dodge County, MN"	"27039"	"2015"	"2015"	"85+ years"	"85+"	59	402	14676.62
	"Dodge County, MN"	"27039"	"2015"	"2015"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Dodge County, MN"	"27039"	"2016"	"2016"	"< 1 year"	"1"	Suppressed	250	Suppressed
	"Dodge County, MN"	"27039"	"2016"	"2016"	"1-4 years"	"1-4"	Suppressed	1099	Suppressed
	"Dodge County, MN"	"27039"	"2016"	"2016"	"5-9 years"	"5-9"	Suppressed	1512	Suppressed
	"Dodge County, MN"	"27039"	"2016"	"2016"	"10-14 years"	"10-14"	Suppressed	1642	Suppressed
	"Dodge County, MN"	"27039"	"2016"	"2016"	"15-19 years"	"15-19"	Suppressed	1469	Suppressed
	"Dodge County, MN"	"27039"	"2016"	"2016"	"20-24 years"	"20-24"	Suppressed	1119	Suppressed
	"Dodge County, MN"	"27039"	"2016"	"2016"	"25-34 years"	"25-34"	Suppressed	2374	Suppressed
	"Dodge County, MN"	"27039"	"2016"	"2016"	"35-44 years"	"35-44"	Suppressed	2710	Suppressed
	"Dodge County, MN"	"27039"	"2016"	"2016"	"45-54 years"	"45-54"	Suppressed	2846	Suppressed
	"Dodge County, MN"	"27039"	"2016"	"2016"	"55-64 years"	"55-64"	18	2664	675.68 (Unreliable)
	"Dodge County, MN"	"27039"	"2016"	"2016"	"65-74 years"	"65-74"	26	1566	1660.28
	"Dodge County, MN"	"27039"	"2016"	"2016"	"75-84 years"	"75-84"	38	842	4513.06
	"Dodge County, MN"	"27039"	"2016"	"2016"	"85+ years"	"85+"	45	413	10895.88
	"Dodge County, MN"	"27039"	"2016"	"2016"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Douglas County, MN"	"27041"	"1999"	"1999"	"< 1 year"	"1"	Suppressed	339	Suppressed
	"Douglas County, MN"	"27041"	"1999"	"1999"	"1-4 years"	"1-4"	Suppressed	1469	Suppressed
	"Douglas County, MN"	"27041"	"1999"	"1999"	"5-9 years"	"5-9"	Suppressed	2093	Suppressed
	"Douglas County, MN"	"27041"	"1999"	"1999"	"10-14 years"	"10-14"	Suppressed	2417	Suppressed
	"Douglas County, MN"	"27041"	"1999"	"1999"	"15-19 years"	"15-19"	Suppressed	2672	Suppressed
	"Douglas County, MN"	"27041"	"1999"	"1999"	"20-24 years"	"20-24"	Suppressed	1856	Suppressed
	"Douglas County, MN"	"27041"	"1999"	"1999"	"25-34 years"	"25-34"	Suppressed	3385	Suppressed
	"Douglas County, MN"	"27041"	"1999"	"1999"	"35-44 years"	"35-44"	11	4835	227.51 (Unreliable)
	"Douglas County, MN"	"27041"	"1999"	"1999"	"45-54 years"	"45-54"	Suppressed	4212	Suppressed
	"Douglas County, MN"	"27041"	"1999"	"1999"	"55-64 years"	"55-64"	18	3324	541.52 (Unreliable)
	"Douglas County, MN"	"27041"	"1999"	"1999"	"65-74 years"	"65-74"	42	2889	1453.79
	"Douglas County, MN"	"27041"	"1999"	"1999"	"75-84 years"	"75-84"	112	2084	5374.28
	"Douglas County, MN"	"27041"	"1999"	"1999"	"85+ years"	"85+"	119	914	13019.69
	"Douglas County, MN"	"27041"	"1999"	"1999"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Douglas County, MN"	"27041"	"2000"	"2000"	"< 1 year"	"1"	Suppressed	352	Suppressed
	"Douglas County, MN"	"27041"	"2000"	"2000"	"1-4 years"	"1-4"	Suppressed	1463	Suppressed
	"Douglas County, MN"	"27041"	"2000"	"2000"	"5-9 years"	"5-9"	Suppressed	2069	Suppressed
	"Douglas County, MN"	"27041"	"2000"	"2000"	"10-14 years"	"10-14"	Suppressed	2395	Suppressed
	"Douglas County, MN"	"27041"	"2000"	"2000"	"15-19 years"	"15-19"	Suppressed	2692	Suppressed
	"Douglas County, MN"	"27041"	"2000"	"2000"	"20-24 years"	"20-24"	Suppressed	1954	Suppressed
	"Douglas County, MN"	"27041"	"2000"	"2000"	"25-34 years"	"25-34"	Suppressed	3351	Suppressed
	"Douglas County, MN"	"27041"	"2000"	"2000"	"35-44 years"	"35-44"	Suppressed	4849	Suppressed
	"Douglas County, MN"	"27041"	"2000"	"2000"	"45-54 years"	"45-54"	10	4378	228.41 (Unreliable)
	"Douglas County, MN"	"27041"	"2000"	"2000"	"55-64 years"	"55-64"	19	3433	553.45 (Unreliable)
	"Douglas County, MN"	"27041"	"2000"	"2000"	"65-74 years"	"65-74"	40	2891	1383.60
	"Douglas County, MN"	"27041"	"2000"	"2000"	"75-84 years"	"75-84"	91	2075	4385.54
	"Douglas County, MN"	"27041"	"2000"	"2000"	"85+ years"	"85+"	169	919	18389.55
	"Douglas County, MN"	"27041"	"2000"	"2000"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Douglas County, MN"	"27041"	"2001"	"2001"	"< 1 year"	"1"	Suppressed	364	Suppressed
	"Douglas County, MN"	"27041"	"2001"	"2001"	"1-4 years"	"1-4"	Suppressed	1479	Suppressed
	"Douglas County, MN"	"27041"	"2001"	"2001"	"5-9 years"	"5-9"	Suppressed	2022	Suppressed
	"Douglas County, MN"	"27041"	"2001"	"2001"	"10-14 years"	"10-14"	Suppressed	2386	Suppressed
	"Douglas County, MN"	"27041"	"2001"	"2001"	"15-19 years"	"15-19"	Suppressed	2524	Suppressed
	"Douglas County, MN"	"27041"	"2001"	"2001"	"20-24 years"	"20-24"	Suppressed	2214	Suppressed
	"Douglas County, MN"	"27041"	"2001"	"2001"	"25-34 years"	"25-34"	Suppressed	3377	Suppressed
	"Douglas County, MN"	"27041"	"2001"	"2001"	"35-44 years"	"35-44"	Suppressed	4745	Suppressed
	"Douglas County, MN"	"27041"	"2001"	"2001"	"45-54 years"	"45-54"	Suppressed	4588	Suppressed
	"Douglas County, MN"	"27041"	"2001"	"2001"	"55-64 years"	"55-64"	21	3564	589.23
	"Douglas County, MN"	"27041"	"2001"	"2001"	"65-74 years"	"65-74"	52	2893	1797.44
	"Douglas County, MN"	"27041"	"2001"	"2001"	"75-84 years"	"75-84"	93	2137	4351.90
	"Douglas County, MN"	"27041"	"2001"	"2001"	"85+ years"	"85+"	131	908	14427.31
	"Douglas County, MN"	"27041"	"2001"	"2001"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Douglas County, MN"	"27041"	"2002"	"2002"	"< 1 year"	"1"	Suppressed	364	Suppressed
	"Douglas County, MN"	"27041"	"2002"	"2002"	"1-4 years"	"1-4"	Suppressed	1505	Suppressed
	"Douglas County, MN"	"27041"	"2002"	"2002"	"5-9 years"	"5-9"	Suppressed	2028	Suppressed
	"Douglas County, MN"	"27041"	"2002"	"2002"	"10-14 years"	"10-14"	Suppressed	2345	Suppressed
	"Douglas County, MN"	"27041"	"2002"	"2002"	"15-19 years"	"15-19"	Suppressed	2438	Suppressed
	"Douglas County, MN"	"27041"	"2002"	"2002"	"20-24 years"	"20-24"	Suppressed	2361	Suppressed
	"Douglas County, MN"	"27041"	"2002"	"2002"	"25-34 years"	"25-34"	Suppressed	3393	Suppressed
	"Douglas County, MN"	"27041"	"2002"	"2002"	"35-44 years"	"35-44"	Suppressed	4633	Suppressed
	"Douglas County, MN"	"27041"	"2002"	"2002"	"45-54 years"	"45-54"	10	4790	208.77 (Unreliable)
	"Douglas County, MN"	"27041"	"2002"	"2002"	"55-64 years"	"55-64"	24	3741	641.54
	"Douglas County, MN"	"27041"	"2002"	"2002"	"65-74 years"	"65-74"	51	2909	1753.18
	"Douglas County, MN"	"27041"	"2002"	"2002"	"75-84 years"	"75-84"	120	2191	5476.95
	"Douglas County, MN"	"27041"	"2002"	"2002"	"85+ years"	"85+"	142	903	15725.36
	"Douglas County, MN"	"27041"	"2002"	"2002"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Douglas County, MN"	"27041"	"2003"	"2003"	"< 1 year"	"1"	Suppressed	379	Suppressed
	"Douglas County, MN"	"27041"	"2003"	"2003"	"1-4 years"	"1-4"	Suppressed	1534	Suppressed
	"Douglas County, MN"	"27041"	"2003"	"2003"	"5-9 years"	"5-9"	Suppressed	2033	Suppressed
	"Douglas County, MN"	"27041"	"2003"	"2003"	"10-14 years"	"10-14"	Suppressed	2337	Suppressed
	"Douglas County, MN"	"27041"	"2003"	"2003"	"15-19 years"	"15-19"	Suppressed	2448	Suppressed
	"Douglas County, MN"	"27041"	"2003"	"2003"	"20-24 years"	"20-24"	Suppressed	2452	Suppressed
	"Douglas County, MN"	"27041"	"2003"	"2003"	"25-34 years"	"25-34"	Suppressed	3469	Suppressed
	"Douglas County, MN"	"27041"	"2003"	"2003"	"35-44 years"	"35-44"	Suppressed	4555	Suppressed
	"Douglas County, MN"	"27041"	"2003"	"2003"	"45-54 years"	"45-54"	16	4918	325.34 (Unreliable)
	"Douglas County, MN"	"27041"	"2003"	"2003"	"55-64 years"	"55-64"	29	3861	751.10
	"Douglas County, MN"	"27041"	"2003"	"2003"	"65-74 years"	"65-74"	48	2997	1601.60
	"Douglas County, MN"	"27041"	"2003"	"2003"	"75-84 years"	"75-84"	103	2211	4658.53
	"Douglas County, MN"	"27041"	"2003"	"2003"	"85+ years"	"85+"	120	931	12889.37
	"Douglas County, MN"	"27041"	"2003"	"2003"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Douglas County, MN"	"27041"	"2004"	"2004"	"< 1 year"	"1"	Suppressed	403	Suppressed
	"Douglas County, MN"	"27041"	"2004"	"2004"	"1-4 years"	"1-4"	Suppressed	1530	Suppressed
	"Douglas County, MN"	"27041"	"2004"	"2004"	"5-9 years"	"5-9"	Suppressed	2079	Suppressed
	"Douglas County, MN"	"27041"	"2004"	"2004"	"10-14 years"	"10-14"	Suppressed	2263	Suppressed
	"Douglas County, MN"	"27041"	"2004"	"2004"	"15-19 years"	"15-19"	Suppressed	2477	Suppressed
	"Douglas County, MN"	"27041"	"2004"	"2004"	"20-24 years"	"20-24"	Suppressed	2468	Suppressed
	"Douglas County, MN"	"27041"	"2004"	"2004"	"25-34 years"	"25-34"	Suppressed	3518	Suppressed
	"Douglas County, MN"	"27041"	"2004"	"2004"	"35-44 years"	"35-44"	11	4489	245.04 (Unreliable)
	"Douglas County, MN"	"27041"	"2004"	"2004"	"45-54 years"	"45-54"	13	5088	255.50 (Unreliable)
	"Douglas County, MN"	"27041"	"2004"	"2004"	"55-64 years"	"55-64"	23	3997	575.43
	"Douglas County, MN"	"27041"	"2004"	"2004"	"65-74 years"	"65-74"	45	3075	1463.41
	"Douglas County, MN"	"27041"	"2004"	"2004"	"75-84 years"	"75-84"	86	2193	3921.57
	"Douglas County, MN"	"27041"	"2004"	"2004"	"85+ years"	"85+"	121	975	12410.26
	"Douglas County, MN"	"27041"	"2004"	"2004"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Douglas County, MN"	"27041"	"2005"	"2005"	"< 1 year"	"1"	Suppressed	465	Suppressed
	"Douglas County, MN"	"27041"	"2005"	"2005"	"1-4 years"	"1-4"	Suppressed	1575	Suppressed
	"Douglas County, MN"	"27041"	"2005"	"2005"	"5-9 years"	"5-9"	Suppressed	2060	Suppressed
	"Douglas County, MN"	"27041"	"2005"	"2005"	"10-14 years"	"10-14"	Suppressed	2277	Suppressed
	"Douglas County, MN"	"27041"	"2005"	"2005"	"15-19 years"	"15-19"	Suppressed	2470	Suppressed
	"Douglas County, MN"	"27041"	"2005"	"2005"	"20-24 years"	"20-24"	Suppressed	2335	Suppressed
	"Douglas County, MN"	"27041"	"2005"	"2005"	"25-34 years"	"25-34"	Suppressed	3660	Suppressed
	"Douglas County, MN"	"27041"	"2005"	"2005"	"35-44 years"	"35-44"	Suppressed	4447	Suppressed
	"Douglas County, MN"	"27041"	"2005"	"2005"	"45-54 years"	"45-54"	22	5239	419.93
	"Douglas County, MN"	"27041"	"2005"	"2005"	"55-64 years"	"55-64"	27	4209	641.48
	"Douglas County, MN"	"27041"	"2005"	"2005"	"65-74 years"	"65-74"	45	3131	1437.24
	"Douglas County, MN"	"27041"	"2005"	"2005"	"75-84 years"	"75-84"	105	2202	4768.39
	"Douglas County, MN"	"27041"	"2005"	"2005"	"85+ years"	"85+"	123	1040	11826.92
	"Douglas County, MN"	"27041"	"2005"	"2005"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Douglas County, MN"	"27041"	"2006"	"2006"	"< 1 year"	"1"	Suppressed	465	Suppressed
	"Douglas County, MN"	"27041"	"2006"	"2006"	"1-4 years"	"1-4"	Suppressed	1664	Suppressed
	"Douglas County, MN"	"27041"	"2006"	"2006"	"5-9 years"	"5-9"	Suppressed	2090	Suppressed
	"Douglas County, MN"	"27041"	"2006"	"2006"	"10-14 years"	"10-14"	Suppressed	2194	Suppressed
	"Douglas County, MN"	"27041"	"2006"	"2006"	"15-19 years"	"15-19"	Suppressed	2517	Suppressed
	"Douglas County, MN"	"27041"	"2006"	"2006"	"20-24 years"	"20-24"	Suppressed	2210	Suppressed
